,movie_title,release_year,imdb_rating,genres,runtime,age_rating,production_country,steaming_on
21, Tumbbad ,(2018),8.2,"Fantasy, Horror, Drama, Mystery & Thriller, Made in Europe",1h 44min,A,"Sweden, India",Bookmyshow
22, Stree ,(2018),7.5,"Horror, Comedy, Drama",2h 8min,UA,India,Amazon Prime Video
23, Mathu Vadalara ,(2019),8.0,"Crime, Comedy, Mystery & Thriller",2h 10min,UA,India,Amazon Prime Video
24, Furiosa: A Mad Max Saga ,(2024),7.5,"Action & Adventure, Science-Fiction, Mystery & Thriller",2h 29min,A,"Australia, United States",Apple TV
25, Venom ,(2018),6.6,"Science-Fiction, Action & Adventure",1h 52min,UA,"United States, China",Amazon Prime Video
26, Black ,(2024),7.0,"Mystery & Thriller, Horror",2h 30min,UA,India,Amazon Prime Video
27, Kishkindha Kaandam ,(2024),8.0,"Drama, Mystery & Thriller",2h 13min,UA,India,Bookmyshow
28, Vicky Vidya Ka Woh Wala Video ,(2024),7.0,Comedy,2h 32min,UA,India,Bookmyshow
29, Gaganachari ,(2024),0.0,"Comedy, Fantasy, Science-Fiction",1h 54min,,India,Amazon Prime Video
30, Saripodhaa Sanivaaram ,(2024),7.0,"Mystery & Thriller, Drama, Action & Adventure",2h 52min,UA,India,Netflix
31, Thangalaan ,(2024),7.0,"Action & Adventure, Fantasy, History, Drama",2h 36min,UA,India,
32, Singham Again ,(2024),6.8,"Action & Adventure, Drama",2h 24min,UA,India,Bookmyshow
33, Strange Darling ,(2024),7.1,"Horror, Mystery & Thriller, Crime",1h 37min,,United States,Amazon Prime Video
34, Martin ,(2024),5.1,"Mystery & Thriller, Action & Adventure, Drama",2h 27min,UA,India,
35, Swag ,(2024),7.0,"Comedy, Drama",2h 30min,,India,Amazon Prime Video
36, The Shadow Strays ,(2024),6.0,"Mystery & Thriller, Action & Adventure, Crime",2h 25min,A,"United States, Indonesia",Netflix
37, Transformers One ,(2024),7.7,"Animation, Science-Fiction, Action & Adventure, Kids & Family, Fantasy",1h 44min,U,United States,Apple TV
38, Munjya ,(2024),6.4,"Comedy, Horror",2h 3min,UA,India,Hotstar
39, Kalki 2898 AD ,(2024),7.1,"Action & Adventure, Drama, Fantasy, Science-Fiction, Mystery & Thriller",3h 0min,UA,India,Amazon Prime Video
40, Venom: Let There Be Carnage ,(2021),5.9,"Science-Fiction, Action & Adventure, Mystery & Thriller",1h 37min,,United States,Apple TV
41, Salaar ,(2023),6.6,"Mystery & Thriller, Action & Adventure, Crime, Drama",2h 55min,A,India,VI movies and tv
42, Jigra ,(2024),7.5,"Crime, Drama, Mystery & Thriller, Action & Adventure",2h 35min,,India,Bookmyshow
43, It Ends with Us ,(2024),6.5,"Romance, Drama",2h 10min,A,United States,Apple TV
44, Je Jatt Vigad Gya ,(2024),0.0,Drama,2h 12min,,India,Chaupal Amazon Channel
45, 365 Days ,(2020),3.3,"Romance, Drama, Made in Europe",1h 54min,,Poland,Netflix
46, Golam ,(2024),7.0,Crime,2h 0min,UA,India,Amazon Prime Video
47, The Buckingham Murders ,(2024),6.0,"Drama, Mystery & Thriller, Crime",1h 47min,A,"United Kingdom, India",Netflix
